class_id,img_height,img_width,bbox_y,bbox_x,bbox_h,bbox_w,norm_img_height,norm_img_width,norm_bbox_y,norm_bbox_x,norm_bbox_w,norm_bbox_h
0,330,1093,69,464,312,175,1,1,0.2090909091,0.4245196706,0.1601097896,0.9454545455
1,782,439,359,292,83,199,1,1,0.4590792839,0.6651480638,0.4533029613,0.1061381074
3,645,831,297,312,267,167,1,1,0.4604651163,0.3754512635,0.2009626955,0.4139534884
34,943,608,275,112,319,290,1,1,0.2916224814,0.1842105263,0.4769736842,0.3382820785
20,593,857,71,368,146,147,1,1,0.1197301855,0.4294049008,0.1715285881,0.2462057336
61,587,745,177,463,68,302,1,1,0.3015332198,0.6214765101,0.4053691275,0.1158432709
16,430,405,78,295,54,237,1,1,0.1813953488,0.7283950617,0.5851851852,0.1255813953
41,513,1179,105,497,379,321,1,1,0.2046783626,0.4215436811,0.272264631,0.738791423
75,638,842,192,142,398,248,1,1,0.3009404389,0.1686460808,0.2945368171,0.6238244514
12,746,877,345,441,370,181,1,1,0.4624664879,0.5028506271,0.2063854048,0.4959785523
5,346,463,114,179,64,107,1,1,0.3294797688,0.3866090713,0.2311015119,0.1849710983
17,847,821,294,182,271,349,1,1,0.347107438,0.221680877,0.425091352,0.3199527745
0,645,326,242,12,96,346,1,1,0.3751937984,0.03680981595,1.061349693,0.1488372093
60,721,590,250,462,54,343,1,1,0.346740638,0.7830508475,0.5813559322,0.07489597781
39,663,663,180,256,343,386,1,1,0.2714932127,0.3861236802,0.5822021116,0.5173453997
42,1001,663,398,73,248,342,1,1,0.3976023976,0.1101055807,0.5158371041,0.2477522478
61,469,725,221,99,282,109,1,1,0.4712153518,0.1365517241,0.1503448276,0.6012793177
75,815,808,376,231,368,142,1,1,0.4613496933,0.2858910891,0.1757425743,0.4515337423
54,865,1034,258,400,237,322,1,1,0.298265896,0.3868471954,0.3114119923,0.2739884393
70,840,730,478,469,133,153,1,1,0.569047619,0.6424657534,0.2095890411,0.1583333333
66,728,581,98,247,134,314,1,1,0.1346153846,0.4251290878,0.5404475043,0.1840659341
14,763,715,297,108,300,368,1,1,0.3892529489,0.151048951,0.5146853147,0.3931847969
28,612,770,2,214,388,223,1,1,0.003267973856,0.2779220779,0.2896103896,0.6339869281
10,575,885,192,467,84,277,1,1,0.3339130435,0.5276836158,0.3129943503,0.1460869565
64,1002,395,494,177,169,135,1,1,0.4930139721,0.4481012658,0.3417721519,0.1686626747
12,738,862,93,340,248,268,1,1,0.1260162602,0.3944315545,0.3109048724,0.3360433604
40,220,265,13,31,104,113,1,1,0.05909090909,0.1169811321,0.4264150943,0.4727272727
16,1106,458,465,1,345,335,1,1,0.4204339964,0.002183406114,0.731441048,0.3119349005
38,885,704,226,345,80,269,1,1,0.2553672316,0.4900568182,0.3821022727,0.09039548023
15,585,1115,27,425,308,275,1,1,0.04615384615,0.3811659193,0.2466367713,0.5264957265
42,802,410,438,277,88,262,1,1,0.5461346633,0.6756097561,0.6390243902,0.1097256858
35,787,951,250,343,301,299,1,1,0.3176620076,0.3606729758,0.3144058885,0.3824650572
15,739,461,147,157,159,202,1,1,0.198917456,0.3405639913,0.4381778742,0.2151556157
6,960,889,420,326,206,399,1,1,0.4375,0.366704162,0.4488188976,0.2145833333
17,612,349,136,26,169,150,1,1,0.2222222222,0.07449856734,0.4297994269,0.2761437908
12,461,835,7,370,279,215,1,1,0.01518438178,0.4431137725,0.2574850299,0.6052060738
51,544,557,219,128,244,213,1,1,0.4025735294,0.2298025135,0.3824057451,0.4485294118
46,698,750,349,183,260,63,1,1,0.5,0.244,0.084,0.3724928367
8,754,712,65,272,126,326,1,1,0.08620689655,0.3820224719,0.4578651685,0.1671087533
71,856,781,456,406,252,131,1,1,0.5327102804,0.5198463508,0.1677336748,0.2943925234
32,731,754,273,141,217,58,1,1,0.3734610123,0.1870026525,0.07692307692,0.2968536252
74,646,797,169,338,186,338,1,1,0.2616099071,0.4240903388,0.4240903388,0.2879256966
76,692,886,272,481,229,78,1,1,0.3930635838,0.5428893905,0.08803611738,0.3309248555
45,392,931,37,431,352,118,1,1,0.0943877551,0.462943072,0.126745435,0.8979591837
65,861,582,475,179,240,287,1,1,0.5516840883,0.3075601375,0.4931271478,0.2787456446
78,932,921,323,460,136,261,1,1,0.3465665236,0.4994571118,0.2833876221,0.1459227468
54,1100,483,346,4,150,394,1,1,0.3145454545,0.008281573499,0.8157349896,0.1363636364
20,752,830,287,465,254,299,1,1,0.3816489362,0.5602409639,0.3602409639,0.3377659574
1,704,877,10,254,225,376,1,1,0.01420454545,0.2896237172,0.4287343216,0.3196022727
43,448,716,57,262,346,288,1,1,0.1272321429,0.3659217877,0.4022346369,0.7723214286
64,759,652,462,269,251,66,1,1,0.6086956522,0.4125766871,0.1012269939,0.3306982872
32,888,517,429,7,232,237,1,1,0.4831081081,0.01353965184,0.4584139265,0.2612612613
56,350,616,137,237,322,83,1,1,0.3914285714,0.3847402597,0.1347402597,0.92
